0	渲
1	酞
2	揀
3	薈
4	霁
5	姊
6	乡
7	靖
8	毙
9	責
10	舸
11	癞
12	è
13	啕
14	尺
15	瓮
16	盧
17	般
18	贬
19	雷
20	岂
21	點
22	囂
23	邊
24	肢
25	灑
26	暹
27	継
28	侗
29	宥
30	梏
31	複
32	沣
33	樞
34	镶
35	簫
36	筑
37	驯
38	篁
39	寿
40	懷
41	鲟
42	秩
43	刚
44	擞
45	伽
46	褡
47	忏
48	谦
49	技
50	幫
51	鱿
52	玖
53	酪
54	馏
55	口
56	世
57	咛
58	〗
59	崎
60	狎
61	把
62	镣
63	冠
64	闷
65	蔵
66	泠
67	楯
68	疱
69	鈣
70	溧
71	瓊
72	匡
73	撅
74	鱗
75	蒙
76	悬
77	灬
78	艱
79	驴
80	曳
81	购
82	孩
83	磋
84	凑
85	闵
86	劈
87	组
88	曙
89	怆
90	砍
91	嘏
92	閑
93	部
94	描
95	商
96	谒
97	刻
98	嗒
99	莭
100	务
101	倭
102	赌
103	雯
104	轆
105	账
106	氚
107	外
108	丄
109	睇
110	冮
111	熔
112	甏
113	涡
114	疝
115	玼
116	彎
117	抠
118	缭
119	壓
120	講
121	竣
122	吮
123	饴
124	篇
125	帑
126	缔
127	┅
128	挖
129	龍
130	律
131	纡
132	帷
133	迸
134	‧
135	媚
136	偶
137	痧
138	鏟
139	尨
140	蓬
141	繞
142	铜
143	该
144	渝
145	萌
146	楞
147	棋
148	蠕
149	珺
150	詠
151	素
152	黒
153	牯
154	咀
155	釣
156	搐
157	孕
158	阀
159	羯
160	毁
161	介
162	篱
163	轧
164	缩
165	叉
166	刨
167	蝦
168	撐
169	省
170	廊
171	貊
172	椽
173	闢
174	咻
175	鑣
176	壤
177	赡
178	蕳
179	锳
180	诲
181	肿
182	镭
183	砋
184	炎
185	裴
186	訝
187	瞑
188	离
189	厭
190	彻
191	蟑
192	沬
193	呵
194	器
195	遏
196	锘
197	恊
198	痹
199	润
200	非
201	擬
202	钭
203	驢
204	郎
205	戛
206	↘
207	辇
208	ｇ
209	螭
210	溺
211	择
212	铍
213	着
214	饷
215	獲
216	嫂
217	餓
218	❄
219	嚸
220	芯
221	苫
222	试
223	電
224	分
225	隰
226	灶
227	扬
228	轩
229	輼
230	却
231	夺
232	刷
233	图
234	袁
235	娓
236	瑰
237	萤
238	铣
239	淘
240	肤
241	晰
242	岗
243	y
244	棺
245	纹
246	全
247	禮
248	凌
249	饸
250	雋
251	願
252	橱
253	坩
254	劃
255	沭
256	緬
257	証
258	挟
259	察
260	顷
261	詩
262	赘
263	媛
264	揽
265	璃
266	群
267	（
268	▏
269	蠹
270	为
271	峧
272	钨
273	膑
274	我
275	蔼
276	砀
277	陰
278	苼
279	缡
280	爺
281	绅
282	於
283	姻
284	趋
285	督
286	疊
287	舉
288	涉
289	锹
290	夫
291	牙
292	苑
293	饺
294	屏
295	義
296	掙
297	劲
298	英
299	逻
300	像
301	漳
302	炒
303	煦
304	鸨
305	螫
306	贷
307	@
308	饱
